,PLN-MM/YY,Sales_Doc.,Item,V,Loaded_line,New_Plan,Sold_to_party,Country_Key,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Remain_GRF,Destination.1,Creation,CBE$,BM$,Demanded_Month,Plan_Month,order_item_type
14212,202504,35006536,10,3500653610,GI,2025 April,Smile Plast Ltd,Uganda,Export,GCSF,1.45,1220.0,DX51D,120,25.0,Africa,CFR,1010.0,1010.0,Apr,Apr,Small Item
14213,202504,35006536,20,3500653620,GI,2025 April,Smile Plast Ltd,Uganda,Export,GHSF,,1220.0,DX51D,120,25.0,Africa,CFR,1010.0,1010.0,Apr,Apr,Small Item
14214,202504,30098109,40,3009810940,GI,2025 April,السويدى للصناعات الكهربائيه,Egypt,Local,GCCF,1.0,1250.0,DX51D,275,20.0,High Tech industries,CPT,896.0,899.0,Apr,Apr,Small Item
14215,202504,30098109,50,3009810950,GI,2025 April,السويدى للصناعات الكهربائيه,Egypt,Local,GHCF,2.0,1250.0,DX51D,330,20.0,High Tech industries,CPT,827.0,830.0,Apr,Apr,Small Item
14216,202504,30098109,10,3009810910,GI,2025 April,السويدى للصناعات الكهربائيه,Egypt,Local,GHCF,2.0,1250.0,DX51D,275,20.0,High Tech industries,CPT,827.0,830.0,Apr,Apr,Small Item
14217,202504,30098109,30,3009810930,GI,2025 April,السويدى للصناعات الكهربائيه,Egypt,Local,GHCF,2.5,1250.0,DX51D,275,120.0,High Tech industries,CPT,827.0,830.0,Apr,Apr,Medium Item
14218,202504,30098281,100,30098281100,GI,2025 April,السویدى للصناعات الهندسیة سای,Egypt,Local,GHSF,1.5,1250.0,DX51D,275,6.0,High Tech industries,CPT,772.0,,Apr,Apr,Small Item
14219,202502,30097732,60,3009773260,CR,2025 April,قليوب,Egypt,Local,CRSF,1.5,1000.0,DC01,,10.0,MTS&قليوب&Other,EXW,709.0,711.0,Feb,Apr,Small Item
14220,202504,30099536,10,3009953610,CR,2025 April,جرایف ایجیبت,Egypt,Local,CRCF,0.94,1291.0,DC01,,100.0,Large Corporate,EXW,783.0,786.0,Apr,Apr,Medium Item
14221,202504,30099536,30,3009953630,CR,2025 April,جرایف ایجیبت,Egypt,Local,CRCF,0.65,1005.0,DC01,,150.0,Large Corporate,EXW,783.0,786.0,Apr,Apr,Medium Item
14222,202503,30098560,110,30098560110,GI,2025 April,كاما لتشغیل للمعادن,Egypt,Local,GCCF,1.2,1250.0,DX51D,275,20.0,KAMA Service Center,EXW,851.0,854.0,Mar,Apr,Small Item
14223,202412,30090874,20,3009087420,GI,2025 April,المصنع الهندسى لتصنيع وتشغيل,Egypt,Local,GCCF,0.3,1250.0,DX51D,60,11.62,Stocking and Distrib,EXW,682.0,685.0,Dec,Apr,Small Item
14224,202503,35006520,40,3500652040,CR,2025 April,Bahra for Manufacturing,Saudi Arabia,Export,CRSF,3.0,1220.0,DC01,,25.0,Middle East,CFR,699.0,699.0,Mar,Apr,Small Item
14225,202503,35006520,50,3500652050,CR,2025 April,Bahra for Manufacturing,Saudi Arabia,Export,CRSF,2.0,1220.0,DC01,,140.0,Middle East,CFR,699.0,699.0,Mar,Apr,Medium Item
14226,202503,35006520,60,3500652060,CR,2025 April,Bahra for Manufacturing,Saudi Arabia,Export,CRSF,3.0,1220.0,DC01,,20.0,Middle East,CFR,699.0,699.0,Mar,Apr,Small Item
14227,202505,30097999,30,3009799930,GI,2025 April,شركة ارسلور ميتال توب ايجيبت,Egypt,,GHSF,2.0,1250.0,DX51D,140,25.0,High Tech industries,CPT,886.0,889.0,May,Apr,Small Item
14228,202505,30097999,40,3009799940,GI,2025 April,شركة ارسلور ميتال توب ايجيبت,Egypt,Local,GHSF,2.5,1250.0,DX51D,140,30.0,High Tech industries,CPT,886.0,889.0,May,Apr,Small Item
14229,202505,30097999,50,3009799950,GI,2025 April,شركة ارسلور ميتال توب ايجيبت,Egypt,Local,GHSF,2.5,1250.0,S350GD,140,15.0,High Tech industries,CPT,886.0,889.0,May,Apr,Small Item
14230,202505,30097999,60,3009799960,GI,2025 April,شركة ارسلور ميتال توب ايجيبت,Egypt,Local,GHSF,,1250.0,S350GD,140,25.0,High Tech industries,CPT,886.0,889.0,May,Apr,Small Item
14231,202505,30097999,70,3009799970,GI,2025 April,شركة ارسلور ميتال توب ايجيبت,Egypt,Local,GHSF,3.0,1250.0,S350GD,140,15.0,High Tech industries,CPT,886.0,889.0,May,Apr,Small Item
14232,202501,35006408,30,3500640830,GI,2025 April,الزامل للهايكل الفولاذية,Egypt,Local,GCRF,1.5,195.0,DX51D,120,60.0,Large Corporate,CPT,791.0,791.0,Jan,Apr,Medium Item
14233,202504,30098281,10,3009828110,GI,2025 April,السویدى للصناعات الهندسیة سای,Egypt,Local,GHSF,2.0,1000.0,DX51D,60,20.0,High Tech industries,CPT,748.0,751.0,Apr,Apr,Small Item
