,PLN-MM/YY,Sales_Doc.,Item,V,Loaded_line,New_Plan,Sold_to_party,Country_Key,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Remain_GRF,Destination.1,Creation,CBE$,BM$,Demanded_Month,Plan_Month,order_item_type
0,202310,30079276,20,3007927620,CR,2024 Jan,الشركة الصينية العامة للهندسة المعم,Egypt,Local,CRCF,3.0,1250.0,DC01,,6.0,Corporate,CPT,4155.0,2938.0,Oct,Jan,Small Item
1,202401,30081591,10,3008159110,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.4,1250.0,DX51D,80,20.0,Service Center,EXW,3557.0,2515.0,Jan,Jan,Small Item
2,202401,30081591,20,3008159120,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.4,1250.0,DX51D,80,20.0,Service Center,EXW,3557.0,2515.0,Jan,Jan,Small Item
3,202401,30081591,30,3008159130,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,,1250.0,DX51D,120,40.0,Service Center,EXW,3546.0,2508.0,Jan,Jan,Small Item
4,202401,30081591,40,3008159140,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.5,1250.0,DX51D,180,40.0,Service Center,EXW,3640.0,2574.0,Jan,Jan,Small Item
5,202401,30081591,50,3008159150,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.5,1250.0,DX51D,180,40.0,,EXW,3640.0,2574.0,Jan,Jan,Small Item
6,202309,30078038,10,3007803810,PP,2024 Jan,العربى للصناعات الهندسیة,Egypt,Local,POSF,0.4,716.0,DX52D,120,1.9,,EXW,6110.0,4320.0,Sep,Jan,Small Item
7,202309,30078038,20,3007803820,PP,2024 Jan,العربى للصناعات الهندسیة,Egypt,Local,POSF,0.4,699.8,DX52D,120,1.7,,EXW,6110.0,4320.0,Sep,Jan,Small Item
8,202309,30078038,30,3007803830,PP,2024 Jan,العربى للصناعات الهندسیة,Egypt,Local,POSF,0.4,699.8,DX52D,120,1.7,Large Corporate,EXW,6110.0,4320.0,Sep,Jan,Small Item
9,202308,35005563,80,3500556380,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GCCF,1.7,1250.0,DX51D,100,11.16,Europe,FOB,2718.0,2718.0,Aug,Jan,Small Item
10,202308,35005563,90,3500556390,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GHCF,2.0,1000.0,DX51D,100,25.0,Europe,FOB,2682.0,2682.0,Aug,Jan,Small Item
11,202308,35005563,70,3500556370,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GCCF,1.65,1250.0,DX51D,100,98.77,Europe,FOB,2718.0,2718.0,Aug,Jan,Medium Item
12,202308,35005563,30,3500556330,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GCCF,1.0,1000.0,DX51D,140,15.99,,FOB,2844.0,2844.0,Aug,Jan,Small Item
13,202312,35005691,10,3500569110,GI,2024 Jan,Kens Metal Industries Ltd,Kenya,Export,GCRF,0.35,126.0,DX51D,100,112.94,,CFR,3708.0,3708.0,Dec,Jan,Medium Item
14,202401,30079565,10,3007956510,GI,2024 Jan,باور ماركت,Egypt,Local,GCCF,1.0,1250.0,DX53D,80,200.0,,CPT,3059.0,2163.0,Jan,Jan,Large Item
15,202401,30079565,20,3007956520,GI,2024 Jan,باور ماركت,Egypt,Local,GCCF,1.2,,DX53D,80,30.0,,CPT,3059.0,2163.0,Jan,Jan,Small Item
16,202401,30079565,30,3007956530,GI,2024 Jan,باور ماركت,Egypt,Local,GCCF,1.0,1250.0,DX53D,275,30.0,,CPT,3417.0,,Jan,Jan,Small Item
17,202302,30070095,90,3007009590,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,470.0,DC04EK,,16.01,,CPT,4362.0,3085.0,Feb,Jan,Small Item
18,202302,30070095,120,30070095120,GI,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,GCNF,0.6,735.0,DX51D,60,35.325,,CPT,4518.0,3194.0,Feb,Jan,Small Item
19,202311,30079992,10,3007999210,GI,2024 Jan,كونستيل للصناعات الهندسيه,Egypt,Local,GHCF,,1250.0,DX51D,180,130.0,Corporate,EXW,3974.0,2810.0,Nov,Jan,Medium Item
20,202308,30077010,20,3007701020,GI,2024 Jan,ايه بيلد ايجيبت للمقاولات,Egypt,Local,GCGF,1.0,1250.0,DX51D,120,19.47,Projects,EXW,3777.0,2671.0,Aug,Jan,Small Item
21,202302,30068426,30,3006842630,GI,2024 Jan,شركة ايفرست مصر للصناعة,Egypt,Local,GCCF,0.7,1250.0,DX51D,80,39.35,Corporate,CPT,4143.0,2930.0,Feb,Jan,Small Item
22,202302,30068426,10,3006842610,GI,2024 Jan,شركة ايفرست مصر للصناعة,Egypt,Local,GCCF,1.8,1220.0,DX51D,80,19.03,Corporate,CPT,4024.0,2845.0,Feb,Jan,Small Item
23,202401,35005703,10,3500570310,CR,2024 Jan,Marcegaglia Poland Sp. z o.o.,Poland,Export,CRCF,0.37,1250.0,DC01,,82.41,Europe,CFR,2581.0,2581.0,Jan,Jan,Medium Item
24,202401,35005703,20,3500570320,CR,2024 Jan,Marcegaglia Poland Sp. z o.o.,Poland,Export,CRCF,0.6,1000.0,DC01,,24.0,Europe,CFR,2581.0,2581.0,Jan,Jan,Small Item
25,202401,35005703,30,3500570330,CR,2024 Jan,Marcegaglia Poland Sp. z o.o.,Poland,Export,CRCF,0.7,1000.0,DC01,,60.0,Europe,CFR,2581.0,2581.0,Jan,Jan,Medium Item
26,202312,30081055,10,3008105510,PP,2024 Jan,الفتح للصناعات والتشييد,Egypt,Local,POCF,0.7,1250.0,DX51D,180,136.0,Corporate,CPT,3540.0,2503.0,Dec,Jan,Medium Item
27,202309,30077043,30,3007704330,PP,2024 Jan,الهندسیة لتشكیل المعادن,Egypt,Local,POCF,0.4,1250.0,DX51D,120,7.46,Service Center,EXW,4867.0,3442.0,Sep,Jan,Small Item
28,202309,30077043,140,30077043140,PP,2024 Jan,الهندسیة لتشكیل المعادن,Egypt,Local,PLCF,0.4,1250.0,DX51D,60,6.01,Service Center,EXW,4608.0,3259.0,Sep,Jan,Small Item
29,202309,30077043,120,30077043120,PP,2024 Jan,الهندسیة لتشكیل المعادن,Egypt,Local,POCF,0.7,1250.0,DX51D,120,4.13,Service Center,EXW,4505.0,3185.0,Sep,Jan,Small Item
30,202310,30079766,10,3007976610,GI,2024 Jan,توب تاتش للصناعات المغذيه,Egypt,Local,GCSF,0.5,500.0,DX56D,60,20.0,Corporate,EXW,4984.0,3524.0,Oct,Jan,Small Item
31,202310,30079766,20,3007976620,GI,2024 Jan,توب تاتش للصناعات المغذيه,Egypt,Local,GCSF,0.6,625.0,DX56D,60,12.89,Corporate,EXW,4958.0,3506.0,Oct,Jan,Small Item
32,202311,30079533,10,3007953310,CR,2024 Jan,العربيه للصناعات الكهربائيه,Egypt,Local,CRSF,1.0,1250.0,DC01,,12.23,Corporate,CPT,4091.0,2892.0,Nov,Jan,Small Item
33,202312,30081260,60,3008126060,PP,2024 Jan,السيد محمد سليمان محمد الشامى و شري,Egypt,Local,POCF,0.7,1250.0,DX51D,120,50.0,High Tech industries,EXW,3435.0,2429.0,Dec,Jan,Medium Item
34,202312,30081260,70,3008126070,PP,2024 Jan,السيد محمد سليمان محمد الشامى و شري,Egypt,Local,POCF,0.7,1250.0,DX51D,180,20.0,High Tech industries,EXW,3719.0,2630.0,Dec,Jan,Small Item
35,202312,30081260,10,3008126010,PP,2024 Jan,السيد محمد سليمان محمد الشامى و شري,Egypt,Local,PLCF,0.4,1250.0,DX51D,60,5.0,High Tech industries,EXW,3467.0,2451.0,Dec,Jan,Small Item
36,202312,30081260,20,3008126020,PP,2024 Jan,السيد محمد سليمان محمد الشامى و شري,Egypt,Local,POCF,0.5,1250.0,DX51D,80,5.0,High Tech industries,EXW,3404.0,2407.0,Dec,Jan,Small Item
37,202312,30081260,30,3008126030,PP,2024 Jan,السيد محمد سليمان محمد الشامى و شري,Egypt,Local,POCF,0.5,1250.0,DX51D,120,5.0,High Tech industries,EXW,3640.0,,Dec,Jan,Small Item
38,202312,30081260,40,3008126040,PP,2024 Jan,السيد محمد سليمان محمد الشامى و شري,Egypt,Local,POCF,0.5,1250.0,DX51D,80,5.0,High Tech industries,EXW,3404.0,2407.0,Dec,Jan,Small Item
39,202312,30081260,50,3008126050,PP,2024 Jan,السيد محمد سليمان محمد الشامى و شري,Egypt,Local,POCF,0.7,1250.0,DX51D,80,50.0,High Tech industries,EXW,3309.0,2340.0,Dec,Jan,Medium Item
40,202309,30076854,80,3007685480,GI,2024 Jan,المصرية لتصنيع مستلزمات,Egypt,Local,GCRF,0.35,66.5,DX51D,80,29.65,Corporate,CPT,4777.0,3377.0,Sep,Jan,Small Item
41,202309,30076854,90,3007685490,GI,2024 Jan,المصرية لتصنيع مستلزمات,Egypt,Local,GCRF,0.35,91.5,DX51D,80,6.0,Corporate,CPT,4777.0,,Sep,Jan,Small Item
42,202401,35005780,10,3500578010,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.3,55.8,DC04,,200.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Large Item
43,202401,35005780,20,3500578020,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.35,55.8,DC04,,125.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Medium Item
44,202401,35005780,30,3500578030,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.4,55.8,DC04,,50.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Medium Item
45,202401,35005780,40,3500578040,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.45,,DC04,,75.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Medium Item
46,202401,35005780,50,3500578050,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.35,40.5,DC04,,25.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Small Item
47,202401,35005780,60,3500578060,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.4,40.5,DC04,,25.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Small Item
48,202401,35005780,70,3500578070,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.45,40.5,DC04,,25.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Small Item
49,202401,35005780,80,3500578080,CR,2024 Jan,LL-Resources GmbH Austria,Slovenia,Export,CRRF,0.6,40.5,DC04,,50.0,Europe,CIF,2988.0,2988.0,Jan,Jan,Medium Item
50,202401,35005714,10,3500571410,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,0.864,1219.2,S220GD,180,365.0,North America,FOB,2790.0,2790.0,Jan,Jan,Large Item
51,202401,35005714,20,3500571420,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,0.864,1219.2,S220GD,275,523.0,North America,,2920.0,2920.0,Jan,Jan,Large Item
52,202401,35005714,30,3500571430,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,1.118,1219.2,S220GD,180,455.0,North America,FOB,2722.0,2722.0,Jan,Jan,Large Item
53,202401,35005714,40,3500571440,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,1.118,,S220GD,275,228.0,North America,FOB,2819.0,2819.0,Jan,Jan,Large Item
54,202401,35005714,50,3500571450,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,1.372,1219.2,S350GD,180,135.0,North America,FOB,2747.0,2747.0,Jan,Jan,Medium Item
55,202401,35005714,60,3500571460,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,1.372,1219.2,S350GD,275,90.0,North America,FOB,2826.0,2826.0,Jan,Jan,Medium Item
56,202401,35005714,70,3500571470,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,1.728,1219.2,S350GD,180,90.0,North America,FOB,2704.0,,Jan,Jan,Medium Item
57,202401,35005714,80,3500571480,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,0.61,1219.2,DX51D,120,90.0,North America,FOB,2801.0,2801.0,Jan,Jan,Medium Item
58,202401,35005714,90,3500571490,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,0.387,1219.2,S350GD,120,2040.0,North America,FOB,3096.0,3096.0,Jan,Jan,Large Item
59,202401,35005714,100,35005714100,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,0.419,1219.2,S280GD,120,568.0,North America,FOB,2981.0,,Jan,Jan,Large Item
60,202401,35005714,110,35005714110,GI,2024 Jan,T.Co Metals LLC,Canada,Export,GCCF,0.482,1219.2,DX51D,120,135.0,North America,FOB,2894.0,2894.0,Jan,Jan,Medium Item
61,202310,30080298,10,3008029810,GI,2024 Jan,فالكون للكمياويات ومنتجات التجميل,Egypt,Local,GCPF,1.5,1000.0,DX51D,100,1.46,Projects,EXW,6314.0,4464.0,Oct,Jan,Small Item
62,202312,30079665,10,3007966510,GI,2024 Jan,راضى للصلب,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,34.47,Service Center,EXW,4880.0,3451.0,Dec,Jan,Small Item
63,202312,30079665,50,3007966550,GI,2024 Jan,راضى للصلب,Egypt,Local,GHCF,1.5,1250.0,DX51D,275,22.14,Service Center,EXW,4298.0,3039.0,Dec,Jan,Small Item
64,202308,30076330,110,30076330110,GI,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,GCNF,0.6,771.0,DX51D,60,20.0,Corporate,CPT,4751.0,3359.0,Aug,Jan,Small Item
65,202308,30076330,100,30076330100,GI,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,GCRF,0.5,484.0,DX51D,60,4.47,Corporate,CPT,,,Aug,Jan,Small Item
66,202308,30076330,50,3007633050,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,500.0,DC04EK,,15.8,Corporate,CPT,4544.0,3213.0,Aug,Jan,Small Item
67,202308,30076330,60,3007633060,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,470.0,DC04EK,,8.31,Corporate,CPT,4544.0,3213.0,Aug,Jan,Small Item
68,202309,35005617,10,3500561710,GI,2024 Jan,TECHNOLOGY & MATERIALS CO.LTD,Kenya,Export,GCRF,0.35,106.0,DX51D,100,5.465,Africa,CFR,3780.0,3780.0,Sep,Jan,Small Item
69,202401,35005756,10,3500575610,PP,2024 Jan,FNK STEEL INDUSTRIES LTD,Cyprus,Export,POCF,0.45,1250.0,DX51D,100,150.0,Europe,CIF,3420.0,3420.0,Jan,Jan,Medium Item
70,202401,35005756,30,3500575630,PP,2024 Jan,FNK STEEL INDUSTRIES LTD,Cyprus,Export,POCF,0.6,1250.0,DX51D,100,50.0,Europe,CIF,3420.0,3420.0,Jan,Jan,Medium Item
71,202401,35005756,20,3500575620,PP,2024 Jan,FNK STEEL INDUSTRIES LTD,Cyprus,Export,POCF,0.45,1250.0,DX51D,100,60.0,Europe,CIF,,3420.0,Jan,Jan,Medium Item
72,202401,35005731,10,3500573110,GI,2024 Jan,Kalmet Ltd,Cyprus,Export,GCRF,1.5,280.0,DX51D,275,25.0,Europe,CIF,3168.0,3168.0,Jan,Jan,Small Item
73,202401,35005731,20,3500573120,GI,2024 Jan,Kalmet Ltd,Cyprus,Export,GCRF,1.8,280.0,DX51D,275,25.0,Europe,CIF,3114.0,3114.0,Jan,Jan,Small Item
74,202401,35005731,30,3500573130,GI,2024 Jan,Kalmet Ltd,Cyprus,Export,GHRF,1.9,280.0,DX51D,275,25.0,Europe,CIF,3096.0,3096.0,Jan,Jan,Small Item
75,202309,30077087,20,3007708720,GI,2024 Jan,المصريه الالمانيه للمنتجات الكهربائ,Egypt,Local,GHSF,3.0,1000.0,DX51D,60,11.28,Corporate,CPT,4194.0,2966.0,Sep,Jan,Small Item
76,202309,30077087,60,3007708760,GI,2024 Jan,المصريه الالمانيه للمنتجات الكهربائ,Egypt,Local,GHSF,2.5,1250.0,DX51D,275,6.49,Corporate,CPT,4453.0,3149.0,Sep,Jan,Small Item
77,202305,30073710,10,3007371010,GI,2024 Jan,الدلتا المصريه,Egypt,Local,GCCF,1.0,1250.0,DX53D,60,64.38,Corporate,CPT,4854.0,3432.0,May,Jan,Medium Item
78,202305,30073710,20,3007371020,GI,2024 Jan,الدلتا المصريه,Egypt,Local,GCCF,1.0,1250.0,DX53D,275,50.0,Corporate,CPT,5515.0,3899.0,May,Jan,Medium Item
79,202309,30078661,20,3007866120,GI,2024 Jan,فيروتك,Egypt,Local,GCPF,1.5,170.0,S320GD,180,0.66,Projects,EXW,5385.0,3808.0,Sep,Jan,Small Item
80,202309,30078661,10,3007866110,PP,2024 Jan,فيروتك,Egypt,Local,POGF,0.7,1219.0,C350GD,180,2.745,Projects,EXW,5735.0,4055.0,Sep,Jan,Small Item
81,202311,30080986,10,3008098610,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,5.0,Projects,,6311.0,4462.0,Nov,Jan,Small Item
82,202311,30080986,30,3008098630,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,1.0,1250.0,DX51D,275,10.0,Projects,EXW,5961.0,4215.0,Nov,Jan,Small Item
83,202311,30080986,40,3008098640,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,1.2,,DX51D,275,5.0,Projects,EXW,5832.0,4124.0,Nov,Jan,Small Item
84,202305,30070959,10,3007095910,GI,2024 Jan,الدلتا المصريه,Egypt,Local,GCCF,1.0,1250.0,DX53D,60,300.0,Corporate,CPT,4043.0,2859.0,May,Jan,Large Item
85,202308,30077468,20,3007746820,PP,2024 Jan,تكنولوجيا الهندسه والصيانه ايست,Egypt,Local,POPF,,1250.0,DX51D,80,0.715,Projects,EXW,6356.0,4494.0,Aug,Jan,Small Item
86,202310,30077788,30,3007778830,PP,2024 Jan,العربى للتجارة والصناعة,Egypt,Local,PORF,0.45,338.0,DX52D,100,8.0,Large Corporate,EXW,5838.0,4128.0,Oct,Jan,Small Item
87,202401,35005730,10,3500573010,GI,2024 Jan,CYPROMETAL LIMITED,Cyprus,Export,GHCF,3.0,1250.0,DX51D,100,50.0,Europe,CIF,2916.0,2916.0,Jan,Jan,Medium Item
88,202401,35005730,20,3500573020,GI,2024 Jan,CYPROMETAL LIMITED,Cyprus,Export,GCCF,,1250.0,DX51D,140,25.0,Europe,CIF,3204.0,3204.0,Jan,Jan,Small Item
89,202401,30081052,10,3008105210,PP,2024 Jan,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,PONF,0.4,810.5,DX51D,100,29.0,Large Corporate,,5722.0,4046.0,Jan,Jan,Small Item
90,202401,30081052,20,3008105220,PP,2024 Jan,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,PONF,0.4,737.5,DX51D,100,17.0,Large Corporate,CPT,5722.0,4046.0,Jan,Jan,Small Item
91,202401,30081052,30,3008105230,PP,2024 Jan,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,PONF,0.4,835.0,DX51D,100,30.0,Large Corporate,,5722.0,4046.0,Jan,Jan,Small Item
92,202308,30076600,20,3007660020,GI,2024 Jan,طیبة للصناعات الهندسیة,Egypt,Local,GCCF,1.5,1000.0,DX51D,80,8.11,Corporate,,4427.0,3130.0,Aug,Jan,Small Item
93,202309,30079026,30,3007902630,PP,2024 Jan,امريكان هاوس مانيو فاكتورز,Egypt,Local,POCF,0.7,1250.0,DX51D,120,20.71,Projects,EXW,5851.0,4137.0,Sep,Jan,Small Item
94,202309,30076842,10,3007684210,GI,2024 Jan,مؤسسة خضر تراست للتكييف,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,31.53,Corporate,CPT,5074.0,3588.0,Sep,Jan,Small Item
95,202309,30076842,30,3007684230,GI,2024 Jan,مؤسسة خضر تراست للتكييف,Egypt,Local,GCCF,1.2,1250.0,DX51D,275,3.98,Corporate,CPT,4802.0,3396.0,Sep,Jan,Small Item
96,202308,30078053,10,3007805310,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,5.0,Projects,EXW,5437.0,3844.0,Aug,Jan,Small Item
97,202308,30078053,20,3007805320,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,0.8,1250.0,DX51D,275,5.0,Projects,EXW,5320.0,,Aug,Jan,Small Item
98,202308,30078053,30,3007805330,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,1.0,1250.0,DX51D,275,5.0,Projects,EXW,5165.0,3652.0,Aug,Jan,Small Item
99,202309,30079027,60,3007902760,GI,2024 Jan,الندى للتكييف والمقاولات,Egypt,Local,GCCF,,1250.0,DX51D,275,5.0,Projects,EXW,5074.0,3588.0,Sep,Jan,Small Item
100,202312,35005680,10,3500568010,GI,2024 Jan,ULAMEX Zbigniew Zientek,Poland,Export,GCRF,1.4,198.5,DX51D,140,25.0,Europe,CFR,3132.0,3132.0,Dec,Jan,Small Item
101,202312,35005680,20,3500568020,GI,2024 Jan,ULAMEX Zbigniew Zientek,Poland,Export,GCRF,,197.0,DX51D,140,25.0,Europe,CFR,3096.0,3096.0,Dec,Jan,Small Item
102,202312,35005686,10,3500568610,GI,2024 Jan,CYPROMETAL LIMITED,Cyprus,Export,GHCF,,1250.0,DX51D,100,25.0,Europe,CIF,2952.0,2952.0,Dec,Jan,Small Item
103,202312,35005686,20,3500568620,GI,2024 Jan,CYPROMETAL LIMITED,Cyprus,Export,GCCF,0.8,1250.0,S350GD,140,75.0,Europe,CIF,3456.0,3456.0,Dec,Jan,Medium Item
104,202311,30079666,20,3007966620,GI,2024 Jan,فرست اير للمقاولات,Egypt,Local,GCCF,0.8,1250.0,DX51D,275,100.0,Corporate,EXW,4867.0,3442.0,Nov,Jan,Medium Item
105,202311,30079666,30,3007966630,GI,2024 Jan,فرست اير للمقاولات,Egypt,Local,GCCF,1.0,1250.0,DX51D,275,36.0,Corporate,EXW,4725.0,3341.0,Nov,Jan,Small Item
106,202311,30079666,40,3007966640,GI,2024 Jan,فرست اير للمقاولات,Egypt,Local,GCCF,1.2,1250.0,DX51D,275,36.0,Corporate,EXW,4634.0,3277.0,Nov,Jan,Small Item
107,202401,35005723,10,3500572310,CR,2024 Jan,SARL STM STEEL ,Algeria,Export,CRCF,0.45,1000.0,DC01,,100.0,Middle East,CFR,2682.0,2682.0,Jan,Jan,Medium Item
108,202401,35005723,20,3500572320,CR,2024 Jan,SARL STM STEEL ,Algeria,Export,CRCF,0.55,1000.0,DC01,,100.0,Middle East,CFR,2682.0,2682.0,Jan,Jan,Medium Item
109,202401,35005723,30,3500572330,CR,2024 Jan,SARL STM STEEL ,Algeria,Export,CRCF,0.65,1000.0,DC01,,100.0,Middle East,CFR,2682.0,2682.0,Jan,Jan,Medium Item
110,202309,30076877,50,3007687750,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,500.0,DC04EK,,75.5,Corporate,EXW,4298.0,3039.0,Sep,Jan,Medium Item
111,202309,30076877,70,3007687770,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,550.0,,,83.08,Corporate,EXW,4298.0,3039.0,Sep,Jan,Medium Item
112,202309,30076877,190,30076877190,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.5,585.0,DC01,,3.78,Corporate,EXW,4233.0,2993.0,Sep,Jan,Small Item
113,202309,30076877,100,30076877100,GI,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,GCRF,0.5,484.0,DX51D,60,3.1,Corporate,EXW,4518.0,3194.0,Sep,Jan,Small Item
114,202309,30076877,110,30076877110,GI,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,,GCNF,0.6,771.0,DX51D,60,20.39,Corporate,EXW,4466.0,3158.0,Sep,Jan,Small Item
115,202309,30076877,10,3007687710,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRNF,0.7,745.0,DC01,,7.36,Corporate,EXW,4233.0,2993.0,Sep,Jan,Small Item
116,202309,30076877,40,3007687740,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,530.0,DC01,,26.39,Corporate,EXW,4233.0,2993.0,Sep,Jan,Small Item
117,202309,30076877,60,3007687760,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,,DC04EK,,43.61,Corporate,EXW,4298.0,,Sep,Jan,Small Item
118,202309,30076877,180,30076877180,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRNF,0.5,625.0,DC01,,1.56,Corporate,EXW,4233.0,2993.0,Sep,Jan,Small Item
119,202311,30080979,10,3008097910,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,5.0,Projects,EXW,6311.0,,Nov,Jan,Small Item
120,202311,30080979,20,3008097920,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,0.8,1250.0,DX51D,275,5.0,Projects,,6168.0,4362.0,Nov,Jan,Small Item
121,202311,30080979,30,3008097930,GI,2024 Jan,أي سي اس للطاقه والمقاولات,Egypt,Local,GCCF,1.0,1250.0,DX51D,275,5.0,Projects,EXW,5961.0,4215.0,Nov,Jan,Small Item
122,202310,30080000,10,3008000010,PP,2024 Jan,الشركه المتحده لتجاره المواد البترو,Egypt,Local,POGF,0.4,1250.0,DX51D,120,11.895,Projects,EXW,5723.0,4047.0,Oct,Jan,Small Item
123,202310,30077682,10,3007768210,CR,2024 Jan,شركة العربي لصناعة الاجهزة,Egypt,Local,CRNF,,724.0,DC06,,125.42,Large Corporate,EXW,4337.0,3066.0,Oct,Jan,Medium Item
124,202310,30077682,20,3007768220,CR,2024 Jan,شركة العربي لصناعة الاجهزة,Egypt,Local,CRRF,0.8,574.0,DC05,,200.0,Large Corporate,EXW,4337.0,3066.0,Oct,Jan,Large Item
125,202310,30077682,30,3007768230,CR,2024 Jan,شركة العربي لصناعة الاجهزة,Egypt,Local,CRRF,1.75,184.0,DC05,,32.32,Large Corporate,EXW,4337.0,3066.0,Oct,Jan,Small Item
126,202312,35005694,10,3500569410,CR,2024 Jan,Peter Cremer GmbH,Senegal,Export,CRNF,0.78,915.0,DC01,,18.73,Africa,CFR,2671.0,2671.0,Dec,Jan,Small Item
127,202310,30078234,10,3007823410,CR,2024 Jan,شركة السويدي للمحولات,Egypt,Local,CRRF,,535.0,DC03,,52.57,High Tech industries,CPT,,3378.0,Oct,Jan,Medium Item
128,202310,30080168,10,3008016810,PP,2024 Jan,رويال للتجاره الدوليه,Egypt,Local,POGF,0.5,1250.0,DX51D,120,2.0,Projects,EXW,5540.0,3918.0,Oct,Jan,Small Item
129,202310,30080168,20,3008016820,PP,2024 Jan,رويال للتجاره الدوليه,Egypt,Local,POGF,0.5,1250.0,DX51D,180,8.0,Projects,EXW,5799.0,4101.0,Oct,Jan,Small Item
130,202310,30080168,30,3008016830,PP,2024 Jan,رويال للتجاره الدوليه,Egypt,Local,POPF,0.5,1250.0,DX51D,180,1.5,Projects,EXW,6615.0,4677.0,Oct,Jan,Small Item
131,202311,30079879,10,3007987910,GI,2024 Jan,جديلة للصناعات المعدنية,Egypt,Local,GHRF,2.5,450.0,S350GD,180,9.32,Large Corporate,CPT,5126.0,,Nov,Jan,Small Item
